teamName,score,submissionDate
1B_MPNN_LargeMix-and-Phenomics,0.879,2024-01-01
1B_MPNN_MolGPS-ens_LargeMix,0.879,2024-01-01
TabPFNv2-rdkit,0.845,2024-01-01
pkis2-kit-wt-c-1_pharm2D_RandomForestClassifier,0.879,2024-01-01
MHNfs,0.224,2024-01-01
pkis2-kit-wt-c-1_atompair_LinearSVC,0.819,2024-01-01
pkis2-kit-wt-c-1_atompair_FCModel,0.319,2024-01-01
pkis2-kit-wt-c-1_DGLGraphTransformer_PNAModel,0.19,2024-01-01
pkis2-kit-wt-c-1_DGLGraphTransformer_MPNNModel,0.19,2024-01-01
pkis2-kit-wt-c-1_DGLGraphTransformer_GCNModel,0.19,2024-01-01
