teamName,score,submissionDate
1B_MPNN_MolGPS-ens_LargeMix,0.866,2024-01-01
1B_MPNN_LargeMix-and-Phenomics,0.832,2024-01-01
TabPFNv2-rdkit,0.796,2024-01-01
fastprop,0.775,2024-01-01
pkis2-egfr-wt-c-1_fcfp4_RandomForestClassifier,0.389,2024-01-01
MHNfs,0.373,2024-01-01
pkis2-egfr-wt-c-1_pattern_RandomForestClassifier,0.333,2024-01-01
pkis2-egfr-wt-c-1_DGLGraphTransformer_PNAModel,0.13,2024-01-01
pkis2-egfr-wt-c-1_rdkit_FCModel,0.112,2024-01-01
pkis2-egfr-wt-c-1_DGLGraphTransformer_MPNNModel,0.111,2024-01-01
