teamName,score,submissionDate
1B_MPNN_MolGPS-ens_LargeMix,16.229,2024-01-01
pkis2-egfr-wt-r-1_fcfp4_RandomForestRegressor,15.558,2024-01-01
TabPFNv2-rdkit,15.904,2024-01-01
1B_MPNN_LargeMix-and-Phenomics,17.647,2024-01-01
pkis2-egfr-wt-r-1_ecfp4_FCModel,20.727,2024-01-01
pkis2-egfr-wt-r-1_DGLGraphTransformer_GCNModel,22.545,2024-01-01
pkis2-egfr-wt-r-1_DGLGraphTransformer_MPNNModel,22.851,2024-01-01
pkis2-egfr-wt-r-1_DGLGraphTransformer_GATModel,25.778,2024-01-01
pkis2-egfr-wt-r-1_DGLGraphTransformer_PNAModel,25.74,2024-01-01
pkis2-egfr-wt-r-1_DGLGraphTransformer_AttentiveFPModel,26.49,2024-01-01
