teamName,score,submissionDate
1B_MPNN_LargeMix-and-Phenomics,0.748,2024-01-01
1B_MPNN_MolGPS-ens_LargeMix,0.662,2024-01-01
TabPFNv2-rdkit,0.59,2024-01-01
pkis2-kit-wt-c-1_pharm2D_RandomForestClassifier,0.484,2024-01-01
MHNfs,0.376,2024-01-01
pkis2-kit-wt-c-1_atompair_LinearSVC,0.287,2024-01-01
pkis2-kit-wt-c-1_atompair_FCModel,0.211,2024-01-01
pkis2-kit-wt-c-1_DGLGraphTransformer_PNAModel,0.19,2024-01-01
pkis2-kit-wt-c-1_DGLGraphTransformer_MPNNModel,0.19,2024-01-01
pkis2-kit-wt-c-1_DGLGraphTransformer_GCNModel,0.19,2024-01-01
