teamName,score,submissionDate
1B_MPNN_LargeMix-and-Phenomics,21.328,2024-01-01
1B_MPNN_MolGPS-ens_LargeMix,22.241,2024-01-01
TabPFNv2-rdkit,23.127,2024-01-01
pkis2-kit-wt-r-1_cats2D_FCModel,26.457,2024-01-01
pkis2-kit-wt-r-1_ecfp4_RandomForestRegressor,24.744,2024-01-01
pkis2-kit-wt-r-1_DGLGraphTransformer_AttentiveFPModel,28.69,2024-01-01
pkis2-kit-wt-r-1_DGLGraphTransformer_PNAModel,26.916,2024-01-01
pkis2-kit-wt-r-1_DGLGraphTransformer_MPNNModel,31.399,2024-01-01
pkis2-kit-wt-r-1_DGLGraphTransformer_GCNModel,28.099,2024-01-01
pkis2-kit-wt-r-1_ecfp6_SVR,28.344,2024-01-01
