teamName,score,submissionDate
1B_MPNN_LargeMix-and-Phenomics,0.925,2024-01-01
1B_MPNN_MolGPS-ens_LargeMix,0.896,2024-01-01
TabPFNv2-rdkit,0.877,2024-01-01
MHNfs,0.217,2024-01-01
pkis2-ret-wt-c-1_erg_LinearSVC,0.83,2024-01-01
pkis2-ret-wt-c-1_pattern_RandomForestClassifier,0.858,2024-01-01
pkis2-ret-wt-c-1_DGLGraphTransformer_GCNModel,0.236,2024-01-01
pkis2-ret-wt-c-1_DGLGraphTransformer_GATModel,0.198,2024-01-01
pkis2-ret-wt-c-1_DGLGraphTransformer_MPNNModel,0.16,2024-01-01
pkis2-ret-wt-c-1_estate_FCModel,0.16,2024-01-01
