teamName,score,submissionDate
1B_MPNN_LargeMix-and-Phenomics,554.023,2024-01-01
1B_MPNN_MolGPS-ens_LargeMix,767.135,2024-01-01
TabPFNv2-rdkit,951.314,2024-01-01
pkis2-ret-wt-r-1_avalon_RandomForestRegressor,1116.419,2024-01-01
pkis2-ret-wt-r-1_DGLGraphTransformer_GATModel,1202.612,2024-01-01
pkis2-ret-wt-r-1_DGLGraphTransformer_AttentiveFPModel,1381.062,2024-01-01
pkis2-ret-wt-r-1_DGLGraphTransformer_PNAModel,1383.671,2024-01-01
pkis2-ret-wt-r-1_DGLGraphTransformer_GCNModel,1538.827,2024-01-01
pkis2-ret-wt-r-1_DGLGraphTransformer_MPNNModel,1843.591,2024-01-01
pkis2-ret-wt-r-1_estate_FCModel,2001.318,2024-01-01
