/home/paperspace/biomlbench/scripts/gcp-deploy/deploy.py:170: SyntaxWarning: invalid escape sequence '\/'
  """
[2025-08-20 01:00:47] Loaded 84 jobs from /home/paperspace/biomlbench/scripts/gcp-deploy/production-cpu-jobs.txt
[2025-08-20 01:00:47] Starting deployment with 80 concurrent VMs
[2025-08-20 01:00:47] Machine type: cpu
[2025-08-20 01:00:47] Jobs to process: 84
[2025-08-20 01:00:47] Creating VM: bioml-aide-polarishub-polaris-pkis2-egfr-wt-c-1-292c345a (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-polarishub-polaris-pkis2-egfr-wt-c-1-292c345a (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-polarishub-polaris-pkis2-egfr-wt-c-1-1296335b (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-polarishub-polaris-pkis2-egfr-wt-c-1-1296335b (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-stella-polarishub-polaris-pkis2-egfr-wt-c-1-1f058a2d (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-stella-polarishub-polaris-pkis2-egfr-wt-c-1-1f058a2d (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-aide-polarishub-polaris-adme-fang-hclint-1-058db96c (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-aide-polarishub-polaris-adme-fang-hclint-1-058db96c (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-mlagentbench-polarishub-polaris-pkis2-egfr--4828-d425723b (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-mlagentbench-polarishub-polaris-pkis2-egfr--4828-d425723b (attempt 1)
[2025-08-20 01:00:47] Creating VM: bioml-biomni-polarishub-polaris-adme-fang-hclint-1-a1b05786 (machine type: cpu)
[2025-08-20 01:00:47] Running: Create VM bioml-biomni-polarishub-polaris-adme-fang-hclint-1-a1b05786 (attempt 1)
