agent,task_group,n_tasks,n_replicates,leaderboard_mean,leaderboard_sem,above_median_mean,above_median_sem,any_medal_mean,any_medal_sem,completion_rate,rank_mean,rank_sem
dummy,Biomedical Imaging,4,4,3.3000000000000003,2.517273657484753,0.0,0.0,0.0,0.0,25.0,3.5,0.8660254037844386
mlagentbench,Biomedical Imaging,4,16,21.725,11.40735782291412,12.5,12.5,0.0,0.0,100.0,2.0,0.7071067811865476
aide,Biomedical Imaging,4,16,12.1125,9.431112628776452,6.25,6.25,0.0,0.0,81.25,3.0,0.9128709291752769
stella,Biomedical Imaging,4,16,5.90625,4.9792106866952315,6.25,6.25,0.0,0.0,68.75,4.0,0.408248290463863
biomni,Biomedical Imaging,4,16,19.04375,10.832461703717213,12.5,12.5,12.5,12.5,100.0,2.5,0.28867513459481287
dummy,Drug Discovery,9,9,1.1111111111111112,1.1111111111111112,0.0,0.0,0.0,0.0,25.0,4.444444444444445,0.28191365458589496
mlagentbench,Drug Discovery,9,36,22.452777777777776,5.9253625130023755,16.666666666666664,9.316949906249123,5.555555555555555,3.6746545987008203,100.0,2.8333333333333335,0.20412414523193148
aide,Drug Discovery,9,36,24.75,7.233778548126376,25.0,11.023963796102462,5.555555555555555,5.555555555555556,80.55555555555556,2.5,0.3333333333333333
stella,Drug Discovery,9,36,12.344444444444443,6.620949728599514,11.11111111111111,11.111111111111112,2.7777777777777777,2.777777777777778,91.66666666666667,3.5555555555555554,0.28191365458589496
biomni,Drug Discovery,9,36,32.55277777777778,8.608768386518252,30.555555555555557,12.344714468493875,13.88888888888889,11.111111111111112,100.0,1.6666666666666667,0.28867513459481287
dummy,Protein Engineering,6,6,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.5,0.25819888974716115
mlagentbench,Protein Engineering,6,24,13.516666666666666,9.175868865913705,12.5,12.500000000000002,0.0,0.0,100.0,3.5,0.5163977794943223
aide,Protein Engineering,6,24,24.5,6.89609490943969,25.0,9.12870929175277,12.5,8.539125638299666,75.0,2.25,0.44253060157839186
stella,Protein Engineering,6,24,14.779166666666669,6.839777703096628,8.333333333333332,5.270462766947299,4.166666666666666,4.166666666666667,87.5,2.75,0.44253060157839186
biomni,Protein Engineering,6,24,29.929166666666664,11.04247182598977,25.0,17.07825127659933,25.0,17.07825127659933,100.0,2.0,0.4472135954999579
dummy,Single Cell Omics,5,5,7.340000000000001,4.5249972375682175,0.0,0.0,0.0,0.0,25.0,4.6,0.39999999999999997
mlagentbench,Single Cell Omics,5,20,28.830000000000002,13.039608889840217,25.0,13.693063937629153,20.0,14.57737973711325,90.0,3.8,0.48989794855663554
aide,Single Cell Omics,5,20,53.17,14.86224747472602,55.00000000000001,16.583123951776997,35.0,18.708286933869708,85.0,2.7,0.43588989435406733
stella,Single Cell Omics,5,20,54.23,14.091600778477936,60.0,14.999999999999998,40.0,20.3100960115899,85.0,2.3,0.5385164807134504
biomni,Single Cell Omics,5,20,55.620000000000005,10.318464638695042,60.0,20.3100960115899,30.0,14.57737973711325,100.0,1.6,0.39999999999999997
