agent,task_group,mean,sem
aide,Biomedical Imaging,20.56388888888889,16.39599963443357
aide,Drug Discovery,31.055555555555557,8.878148024542
aide,Protein Engineering,35.99305555555556,10.95653416085129
aide,Single Cell Omics,60.67,11.163507513322145
biomni,Biomedical Imaging,19.043750000000003,10.832461703717213
biomni,Drug Discovery,32.55277777777778,8.608768386518252
biomni,Protein Engineering,29.929166666666664,11.04247182598977
biomni,Single Cell Omics,55.620000000000005,10.318464638695042
dummy,Biomedical Imaging,3.3000000000000003,2.517273657484753
dummy,Drug Discovery,1.1111111111111112,1.1111111111111112
dummy,Protein Engineering,0.0,0.0
dummy,Single Cell Omics,7.340000000000001,4.5249972375682175
mlagentbench,Biomedical Imaging,21.725,11.40735782291412
mlagentbench,Drug Discovery,22.452777777777776,5.9253625130023755
mlagentbench,Protein Engineering,13.516666666666666,9.175868865913705
mlagentbench,Single Cell Omics,42.2875,13.779640401089331
stella,Biomedical Imaging,44.324999999999996,38.474999999999994
stella,Drug Discovery,12.344444444444443,6.620949728599514
stella,Protein Engineering,15.411111111111111,6.805983773375956
stella,Single Cell Omics,61.973333333333336,13.906159306820365
