version,run_id,unique_run_id,agent,task,task_domain,task_id_x,submission_path,submission_csv_path,log_path,domain_agent_x,task_id_y,json_task_id,timestamp_report,grading_output_path,json_filename,score,gold_threshold,silver_threshold,bronze_threshold,median_threshold,any_medal,gold_medal,silver_medal,bronze_medal,above_median,submission_exists,valid_submission,is_lower_better,created_at,leaderboard_percentile,leaderboard_size,beats_human,human_percentile,domain_agent_y,agent_task,rank
v1,2025-08-20T03-56-04-GMT_run-group_aide,2025-08-20T03-56-04-GMT_run-group_aide_aide_PSAE-PICP2-Tsuboyama-2023-1PSE,aide,proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE,proteingym-dms,PSAE-PICP2-Tsuboyama-2023-1PSE,analysis_output/v1/runs/aide/proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE/2025-08-20T03-56-04-GMT_run-group_aide/submission.jsonl,analysis_output/v1/runs/aide/proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE/2025-08-20T03-56-04-GMT_run-group_aide/proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE_246cc146-e3bc-4bf4-8475-40aadfc37154/submission/submission.csv,analysis_output/v1/runs/aide/proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE/2025-08-20T03-56-04-GMT_run-group_aide/proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE_246cc146-e3bc-4bf4-8475-40aadfc37154/run.log,proteingym-dms_aide,PSAE_PICP2_Tsuboyama_2023_1PSE,proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE,2025-08-20T11-43-24-GMT_individual_reports,analysis_output/v1/grades/aide/proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE/2025-08-20T11-43-24-GMT_individual_reports/proteingym-dms_PSAE_PICP2_Tsuboyama_2023_1PSE.json,proteingym-dms_PSAE_PICP2_Tsuboyama_2023_1PSE.json,0.35729,0.784,0.723,0.623,0.485,False,False,False,False,False,True,True,False,2025-08-20T11:43:25.123203,27.3,11,,,proteingym-dms_aide,aide_proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE,1.0
v1,2025-08-20T16-37-57-GMT_run-group_aide,2025-08-20T16-37-57-GMT_run-group_aide_aide_PSAE-PICP2-Tsuboyama-2023-1PSE,aide,proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE,proteingym-dms,PSAE-PICP2-Tsuboyama-2023-1PSE,analysis_output/v1/runs/aide/proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE/2025-08-20T16-37-57-GMT_run-group_aide/submission.jsonl,analysis_output/v1/runs/aide/proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE/2025-08-20T16-37-57-GMT_run-group_aide/proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE_86b3d17e-1e86-4f38-818f-d294fcd8ab4d/submission/submission.csv,analysis_output/v1/runs/aide/proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE/2025-08-20T16-37-57-GMT_run-group_aide/proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE_86b3d17e-1e86-4f38-818f-d294fcd8ab4d/run.log,proteingym-dms_aide,PSAE_PICP2_Tsuboyama_2023_1PSE,proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE,2025-08-21T00-38-34-GMT_individual_reports,analysis_output/v1/grades/aide/proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE/2025-08-21T00-38-34-GMT_individual_reports/proteingym-dms_PSAE_PICP2_Tsuboyama_2023_1PSE.json,proteingym-dms_PSAE_PICP2_Tsuboyama_2023_1PSE.json,0.49895,0.784,0.723,0.623,0.485,False,False,False,False,True,True,True,False,2025-08-21T00:38:34.495806,54.5,11,,,proteingym-dms_aide,aide_proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE,1.0
v1,2025-08-20T04-23-37-GMT_run-group_aide,2025-08-20T04-23-37-GMT_run-group_aide_aide_PSAE-PICP2-Tsuboyama-2023-1PSE,aide,proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE,proteingym-dms,PSAE-PICP2-Tsuboyama-2023-1PSE,analysis_output/v1/runs/aide/proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE/2025-08-20T04-23-37-GMT_run-group_aide/submission.jsonl,analysis_output/v1/runs/aide/proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE/2025-08-20T04-23-37-GMT_run-group_aide/proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE_fbfbed42-666f-4de7-9b42-7ab965335e55/submission/submission.csv,analysis_output/v1/runs/aide/proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE/2025-08-20T04-23-37-GMT_run-group_aide/proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE_fbfbed42-666f-4de7-9b42-7ab965335e55/run.log,proteingym-dms_aide,PSAE_PICP2_Tsuboyama_2023_1PSE,proteingym-dms/PSAE_PICP2_Tsuboyama_2023_1PSE,2025-08-20T11-16-39-GMT_individual_reports,analysis_output/v1/grades/aide/proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE/2025-08-20T11-16-39-GMT_individual_reports/proteingym-dms_PSAE_PICP2_Tsuboyama_2023_1PSE.json,proteingym-dms_PSAE_PICP2_Tsuboyama_2023_1PSE.json,0.39679,0.784,0.723,0.623,0.485,False,False,False,False,False,True,True,False,2025-08-20T11:16:40.152647,36.4,11,,,proteingym-dms_aide,aide_proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE,1.0
v1,2025-08-20T03-56-04-GMT_run-group_aide,2025-08-20T03-56-04-GMT_run-group_aide_aide_tdcommons-caco2-wang,aide,polarishub-tdcommons-caco2-wang,polarishub,tdcommons-caco2-wang,analysis_output/v1/runs/aide/polarishub-tdcommons-caco2-wang/2025-08-20T03-56-04-GMT_run-group_aide/submission.jsonl,analysis_output/v1/runs/aide/polarishub-tdcommons-caco2-wang/2025-08-20T03-56-04-GMT_run-group_aide/polarishub/tdcommons-caco2-wang_a3c0410e-f51e-450d-b6b7-8fe3c67f5da7/submission/submission.csv,analysis_output/v1/runs/aide/polarishub-tdcommons-caco2-wang/2025-08-20T03-56-04-GMT_run-group_aide/polarishub/tdcommons-caco2-wang_a3c0410e-f51e-450d-b6b7-8fe3c67f5da7/run.log,polarishub_aide,tdcommons-caco2-wang,polarishub/tdcommons-caco2-wang,2025-08-20T08-23-17-GMT_individual_reports,analysis_output/v1/grades/aide/polarishub-tdcommons-caco2-wang/2025-08-20T08-23-17-GMT_individual_reports/polarishub_tdcommons-caco2-wang.json,polarishub_tdcommons-caco2-wang.json,0.27624,0.282,0.282,0.284,0.316,True,True,False,False,True,True,True,True,2025-08-20T08:23:19.912820,100.0,7,,,polarishub_aide,aide_polarishub-tdcommons-caco2-wang,1.0
v1,2025-08-20T04-23-41-GMT_run-group_aide,2025-08-20T04-23-41-GMT_run-group_aide_aide_tdcommons-caco2-wang,aide,polarishub-tdcommons-caco2-wang,polarishub,tdcommons-caco2-wang,analysis_output/v1/runs/aide/polarishub-tdcommons-caco2-wang/2025-08-20T04-23-41-GMT_run-group_aide/submission.jsonl,analysis_output/v1/runs/aide/polarishub-tdcommons-caco2-wang/2025-08-20T04-23-41-GMT_run-group_aide/polarishub/tdcommons-caco2-wang_74f76006-97b8-4f50-8e5a-dd05407b37c1/submission/submission.csv,analysis_output/v1/runs/aide/polarishub-tdcommons-caco2-wang/2025-08-20T04-23-41-GMT_run-group_aide/polarishub/tdcommons-caco2-wang_74f76006-97b8-4f50-8e5a-dd05407b37c1/run.log,polarishub_aide,tdcommons-caco2-wang,polarishub/tdcommons-caco2-wang,2025-08-20T12-24-37-GMT_individual_reports,analysis_output/v1/grades/aide/polarishub-tdcommons-caco2-wang/2025-08-20T12-24-37-GMT_individual_reports/polarishub_tdcommons-caco2-wang.json,polarishub_tdcommons-caco2-wang.json,0.28375,0.282,0.282,0.284,0.316,True,False,False,True,True,True,True,True,2025-08-20T12:24:40.002200,85.7,7,,,polarishub_aide,aide_polarishub-tdcommons-caco2-wang,1.0
v1,2025-08-20T16-37-57-GMT_run-group_aide,2025-08-20T16-37-57-GMT_run-group_aide_aide_tdcommons-caco2-wang,aide,polarishub-tdcommons-caco2-wang,polarishub,tdcommons-caco2-wang,analysis_output/v1/runs/aide/polarishub-tdcommons-caco2-wang/2025-08-20T16-37-57-GMT_run-group_aide/submission.jsonl,analysis_output/v1/runs/aide/polarishub-tdcommons-caco2-wang/2025-08-20T16-37-57-GMT_run-group_aide/polarishub/tdcommons-caco2-wang_d2a9ca94-8ee6-4da1-893b-5dfbf1ede769/submission/submission.csv,analysis_output/v1/runs/aide/polarishub-tdcommons-caco2-wang/2025-08-20T16-37-57-GMT_run-group_aide/polarishub/tdcommons-caco2-wang_d2a9ca94-8ee6-4da1-893b-5dfbf1ede769/run.log,polarishub_aide,tdcommons-caco2-wang,polarishub/tdcommons-caco2-wang,2025-08-21T00-38-34-GMT_individual_reports,analysis_output/v1/grades/aide/polarishub-tdcommons-caco2-wang/2025-08-21T00-38-34-GMT_individual_reports/polarishub_tdcommons-caco2-wang.json,polarishub_tdcommons-caco2-wang.json,0.30844,0.282,0.282,0.284,0.316,False,False,False,False,True,True,True,True,2025-08-21T00:38:37.790901,57.1,7,,,polarishub_aide,aide_polarishub-tdcommons-caco2-wang,1.0
v1,2025-08-20T16-37-52-GMT_run-group_aide,2025-08-20T16-37-52-GMT_run-group_aide_aide_CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,aide,proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,proteingym-dms,CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,analysis_output/v1/runs/aide/proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels/2025-08-20T16-37-52-GMT_run-group_aide/submission.jsonl,analysis_output/v1/runs/aide/proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels/2025-08-20T16-37-52-GMT_run-group_aide/proteingym-dms/CSN4_MOUSE_Tsuboyama_2023_1UFM_indels_b4b10093-35f2-433e-8378-ecf0f0ca2c69/submission/submission.csv,analysis_output/v1/runs/aide/proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels/2025-08-20T16-37-52-GMT_run-group_aide/proteingym-dms/CSN4_MOUSE_Tsuboyama_2023_1UFM_indels_b4b10093-35f2-433e-8378-ecf0f0ca2c69/run.log,proteingym-dms_aide,CSN4_MOUSE_Tsuboyama_2023_1UFM_indels,proteingym-dms/CSN4_MOUSE_Tsuboyama_2023_1UFM_indels,2025-08-20T21-50-16-GMT_individual_reports,analysis_output/v1/grades/aide/proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels/2025-08-20T21-50-16-GMT_individual_reports/proteingym-dms_CSN4_MOUSE_Tsuboyama_2023_1UFM_indels.json,proteingym-dms_CSN4_MOUSE_Tsuboyama_2023_1UFM_indels.json,0.87508,0.906,0.906,0.906,0.857,False,False,False,False,True,True,True,False,2025-08-20T21:50:16.458615,66.7,3,,,proteingym-dms_aide,aide_proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,1.0
v1,2025-08-20T04-23-37-GMT_run-group_aide,2025-08-20T04-23-37-GMT_run-group_aide_aide_CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,aide,proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,proteingym-dms,CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,analysis_output/v1/runs/aide/proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels/2025-08-20T04-23-37-GMT_run-group_aide/submission.jsonl,analysis_output/v1/runs/aide/proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels/2025-08-20T04-23-37-GMT_run-group_aide/proteingym-dms/CSN4_MOUSE_Tsuboyama_2023_1UFM_indels_1fbe31fc-7157-4fc8-a7e6-6f02165eee99/submission/submission.csv,analysis_output/v1/runs/aide/proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels/2025-08-20T04-23-37-GMT_run-group_aide/proteingym-dms/CSN4_MOUSE_Tsuboyama_2023_1UFM_indels_1fbe31fc-7157-4fc8-a7e6-6f02165eee99/run.log,proteingym-dms_aide,CSN4_MOUSE_Tsuboyama_2023_1UFM_indels,proteingym-dms/CSN4_MOUSE_Tsuboyama_2023_1UFM_indels,2025-08-20T11-50-59-GMT_individual_reports,analysis_output/v1/grades/aide/proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels/2025-08-20T11-50-59-GMT_individual_reports/proteingym-dms_CSN4_MOUSE_Tsuboyama_2023_1UFM_indels.json,proteingym-dms_CSN4_MOUSE_Tsuboyama_2023_1UFM_indels.json,0.86929,0.906,0.906,0.906,0.857,False,False,False,False,True,True,True,False,2025-08-20T11:51:00.049474,66.7,3,,,proteingym-dms_aide,aide_proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,1.0
v1,2025-08-20T01-02-00-GMT_run-group_aide,2025-08-20T01-02-00-GMT_run-group_aide_aide_CBX4-HUMAN-Tsuboyama-2023-2K28,aide,proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28,proteingym-dms,CBX4-HUMAN-Tsuboyama-2023-2K28,analysis_output/v1/runs/aide/proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28/2025-08-20T01-02-00-GMT_run-group_aide/submission.jsonl,analysis_output/v1/runs/aide/proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28/2025-08-20T01-02-00-GMT_run-group_aide/proteingym-dms/CBX4_HUMAN_Tsuboyama_2023_2K28_bda4be8a-ed92-4338-a0b4-62ed08b716ae/submission/submission.csv,analysis_output/v1/runs/aide/proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28/2025-08-20T01-02-00-GMT_run-group_aide/proteingym-dms/CBX4_HUMAN_Tsuboyama_2023_2K28_bda4be8a-ed92-4338-a0b4-62ed08b716ae/run.log,proteingym-dms_aide,CBX4_HUMAN_Tsuboyama_2023_2K28,proteingym-dms/CBX4_HUMAN_Tsuboyama_2023_2K28,2025-08-20T02-26-02-GMT_individual_reports,analysis_output/v1/grades/aide/proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28/2025-08-20T02-26-02-GMT_individual_reports/proteingym-dms_CBX4_HUMAN_Tsuboyama_2023_2K28.json,proteingym-dms_CBX4_HUMAN_Tsuboyama_2023_2K28.json,0.14201,0.848,0.823,0.695,0.642,False,False,False,False,False,True,True,False,2025-08-20T02:26:02.843800,0.0,11,,,proteingym-dms_aide,aide_proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28,3.0
v1,2025-08-20T03-56-04-GMT_run-group_aide,2025-08-20T03-56-04-GMT_run-group_aide_aide_CBX4-HUMAN-Tsuboyama-2023-2K28,aide,proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28,proteingym-dms,CBX4-HUMAN-Tsuboyama-2023-2K28,analysis_output/v1/runs/aide/proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28/2025-08-20T03-56-04-GMT_run-group_aide/submission.jsonl,analysis_output/v1/runs/aide/proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28/2025-08-20T03-56-04-GMT_run-group_aide/proteingym-dms/CBX4_HUMAN_Tsuboyama_2023_2K28_9c7ef7bd-d2ee-45d1-b7b1-73f9d67e2175/submission/submission.csv,analysis_output/v1/runs/aide/proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28/2025-08-20T03-56-04-GMT_run-group_aide/proteingym-dms/CBX4_HUMAN_Tsuboyama_2023_2K28_9c7ef7bd-d2ee-45d1-b7b1-73f9d67e2175/run.log,proteingym-dms_aide,CBX4_HUMAN_Tsuboyama_2023_2K28,proteingym-dms/CBX4_HUMAN_Tsuboyama_2023_2K28,2025-08-20T11-56-57-GMT_individual_reports,analysis_output/v1/grades/aide/proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28/2025-08-20T11-56-57-GMT_individual_reports/proteingym-dms_CBX4_HUMAN_Tsuboyama_2023_2K28.json,proteingym-dms_CBX4_HUMAN_Tsuboyama_2023_2K28.json,0.43624,0.848,0.823,0.695,0.642,False,False,False,False,False,True,True,False,2025-08-20T11:56:57.358825,9.1,11,,,proteingym-dms_aide,aide_proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28,3.0
