agent,task_group,n_tasks,n_replicates,leaderboard_mean,leaderboard_sem,above_median_mean,above_median_sem,any_medal_mean,any_medal_sem,completion_rate,rank_mean,rank_sem
dummy,Biomedical Imaging,4,4,3.3000000000000003,2.517273657484753,0.0,0.0,0.0,0.0,25.0,3.5,0.8660254037844386
mlagentbench,Biomedical Imaging,4,16,21.725,11.40735782291412,12.5,12.5,0.0,0.0,100.0,2.125,0.5153882032022076
aide,Biomedical Imaging,3,9,20.56388888888889,16.39599963443357,11.11111111111111,11.11111111111111,0.0,0.0,75.0,2.1666666666666665,0.7264831572567789
stella,Biomedical Imaging,2,3,44.324999999999996,38.474999999999994,50.0,50.0,0.0,0.0,37.5,2.0,1.0
biomni,Biomedical Imaging,4,16,19.04375,10.832461703717213,12.5,12.5,12.5,12.5,100.0,3.0,0.408248290463863
dummy,Drug Discovery,9,9,1.1111111111111112,1.1111111111111112,0.0,0.0,0.0,0.0,25.0,4.444444444444445,0.28191365458589496
mlagentbench,Drug Discovery,9,36,22.452777777777776,5.9253625130023755,16.666666666666664,9.316949906249123,5.555555555555555,3.6746545987008203,100.0,2.888888888888889,0.20030840419244386
aide,Drug Discovery,9,29,31.055555555555557,8.878148024542,30.555555555555557,13.32175423142422,7.4074074074074066,7.407407407407407,80.55555555555556,2.3333333333333335,0.28867513459481287
stella,Drug Discovery,9,33,12.344444444444443,6.620949728599514,11.11111111111111,11.111111111111112,2.7777777777777777,2.777777777777778,91.66666666666667,3.6666666666666665,0.2763853991962833
biomni,Drug Discovery,9,36,32.55277777777778,8.608768386518252,30.555555555555557,12.344714468493875,13.88888888888889,11.111111111111112,100.0,1.6666666666666667,0.28867513459481287
dummy,Protein Engineering,6,6,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.5,0.25819888974716115
mlagentbench,Protein Engineering,6,24,13.516666666666666,9.175868865913705,12.5,12.500000000000002,0.0,0.0,100.0,3.6666666666666665,0.3574601764921203
aide,Protein Engineering,6,18,35.99305555555556,10.95653416085129,38.888888888888886,15.908690070307058,16.666666666666664,11.38550085106622,75.0,1.9166666666666667,0.45491146879853944
stella,Protein Engineering,6,21,15.411111111111111,6.805983773375956,8.333333333333332,5.270462766947299,4.166666666666666,4.166666666666667,87.5,2.9166666666666665,0.41666666666666674
biomni,Protein Engineering,6,24,29.929166666666664,11.04247182598977,25.0,17.07825127659933,25.0,17.07825127659933,100.0,2.0,0.4472135954999579
dummy,Single Cell Omics,5,5,7.340000000000001,4.5249972375682175,0.0,0.0,0.0,0.0,25.0,4.8,0.19999999999999998
mlagentbench,Single Cell Omics,4,14,42.2875,13.779640401089331,37.5,16.137430609197573,31.25,18.75,87.5,3.5,0.28867513459481287
aide,Single Cell Omics,5,21,60.67,11.163507513322145,58.33333333333333,16.666666666666664,33.33333333333333,19.002923751652297,105.0,2.3,0.5385164807134504
stella,Single Cell Omics,5,17,61.973333333333336,13.906159306820365,68.33333333333333,15.000000000000002,46.666666666666664,22.60776661041756,85.0,1.9,0.33166247903553997
biomni,Single Cell Omics,5,20,55.620000000000005,10.318464638695042,60.0,20.3100960115899,30.0,14.57737973711325,100.0,2.2,0.58309518948453
