agent,task,task_group,leaderboard_percentile,above_median,any_medal,rank
aide,kaggle-histopathologic-cancer-detection,Biomedical Imaging,52.96666666666667,0.3333333333333333,0.0,1.0
aide,kaggle-osic-pulmonary-fibrosis-progression,Biomedical Imaging,8.725,0.0,0.0,2.0
aide,kaggle-uw-madison-gi-tract-image-segmentation,Biomedical Imaging,0.0,0.0,0.0,3.5
aide,manual-open-problems-cell-cell-communication-ligand-target,Single Cell Omics,50.0,0.6666666666666666,0.16666666666666666,2.0
aide,manual-open-problems-label-projection,Single Cell Omics,68.35,0.75,0.5,4.0
aide,manual-open-problems-predict-modality,Single Cell Omics,100.0,1.0,1.0,1.5
aide,manual-open-problems-single-cell-perturbations,Single Cell Omics,35.0,0.5,0.0,3.0
aide,manual-open-problems-spatially-variable-genes,Single Cell Omics,50.0,0.0,0.0,1.0
aide,polarishub-polaris-adme-fang-hclint-1,Drug Discovery,40.0,0.3333333333333333,0.0,1.0
aide,polarishub-polaris-adme-fang-hppb-1,Drug Discovery,23.333333333333332,0.0,0.0,3.0
aide,polarishub-polaris-adme-fang-solu-1,Drug Discovery,0.0,0.0,0.0,3.0
aide,polarishub-polaris-pkis2-egfr-wt-c-1,Drug Discovery,52.5,0.75,0.0,3.0
aide,polarishub-tdcommons-bbb-martins,Drug Discovery,20.833333333333332,0.0,0.0,2.0
aide,polarishub-tdcommons-caco2-wang,Drug Discovery,80.93333333333334,1.0,0.6666666666666666,1.0
aide,polarishub-tdcommons-cyp2d6-substrate-carbonmangels,Drug Discovery,14.300000000000002,0.0,0.0,3.0
aide,polarishub-tdcommons-herg,Drug Discovery,47.6,0.6666666666666666,0.0,2.0
aide,polarishub-tdcommons-lipophilicity-astrazeneca,Drug Discovery,0.0,0.0,0.0,3.0
aide,proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28,Protein Engineering,6.824999999999999,0.0,0.0,3.0
aide,proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,Protein Engineering,66.7,1.0,0.0,1.0
aide,proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE,Protein Engineering,39.4,0.3333333333333333,0.0,1.0
aide,proteingym-dms-Q8EG35-SHEON-Campbell-2022-indels,Protein Engineering,0.0,0.0,0.0,3.5
aide,proteingym-dms-SBI-STAAM-Tsuboyama-2023-2JVG,Protein Engineering,54.56666666666666,0.3333333333333333,0.3333333333333333,1.0
aide,proteingym-dms-SPIKE-SARS2-Starr-2020-binding,Protein Engineering,48.46666666666667,0.6666666666666666,0.6666666666666666,2.0
biomni,kaggle-histopathologic-cancer-detection,Biomedical Imaging,20.825000000000003,0.0,0.0,3.0
biomni,kaggle-osic-pulmonary-fibrosis-progression,Biomedical Imaging,4.95,0.0,0.0,4.0
biomni,kaggle-rsna-miccai-brain-tumor-radiogenomic-classification,Biomedical Imaging,48.975,0.5,0.5,3.0
biomni,kaggle-uw-madison-gi-tract-image-segmentation,Biomedical Imaging,1.425,0.0,0.0,2.0
biomni,manual-open-problems-cell-cell-communication-ligand-target,Single Cell Omics,71.425,0.75,0.5,1.0
biomni,manual-open-problems-label-projection,Single Cell Omics,81.675,1.0,0.75,2.0
biomni,manual-open-problems-predict-modality,Single Cell Omics,40.0,0.25,0.25,4.0
biomni,manual-open-problems-single-cell-perturbations,Single Cell Omics,60.0,1.0,0.0,1.0
biomni,manual-open-problems-spatially-variable-genes,Single Cell Omics,25.0,0.0,0.0,3.0
biomni,polarishub-polaris-adme-fang-hclint-1,Drug Discovery,27.5,0.25,0.0,2.0
biomni,polarishub-polaris-adme-fang-hppb-1,Drug Discovery,37.5,0.5,0.0,1.0
biomni,polarishub-polaris-adme-fang-solu-1,Drug Discovery,0.0,0.0,0.0,3.0
biomni,polarishub-polaris-pkis2-egfr-wt-c-1,Drug Discovery,77.5,1.0,1.0,1.0
biomni,polarishub-tdcommons-bbb-martins,Drug Discovery,21.875,0.0,0.0,1.0
biomni,polarishub-tdcommons-caco2-wang,Drug Discovery,57.125,0.75,0.25,2.0
biomni,polarishub-tdcommons-cyp2d6-substrate-carbonmangels,Drug Discovery,21.45,0.0,0.0,1.0
biomni,polarishub-tdcommons-herg,Drug Discovery,50.025,0.25,0.0,1.0
biomni,polarishub-tdcommons-lipophilicity-astrazeneca,Drug Discovery,0.0,0.0,0.0,3.0
biomni,proteingym-dms-CBX4-HUMAN-Tsuboyama-2023-2K28,Protein Engineering,9.1,0.0,0.0,2.0
biomni,proteingym-dms-CSN4-MOUSE-Tsuboyama-2023-1UFM-indels,Protein Engineering,0.0,0.0,0.0,4.0
biomni,proteingym-dms-PSAE-PICP2-Tsuboyama-2023-1PSE,Protein Engineering,27.299999999999997,0.0,0.0,2.0
biomni,proteingym-dms-Q8EG35-SHEON-Campbell-2022-indels,Protein Engineering,50.0,0.5,0.5,1.0
biomni,proteingym-dms-SBI-STAAM-Tsuboyama-2023-2JVG,Protein Engineering,20.474999999999998,0.0,0.0,2.0
biomni,proteingym-dms-SPIKE-SARS2-Starr-2020-binding,Protein Engineering,72.7,1.0,1.0,1.0
dummy,kaggle-histopathologic-cancer-detection,Biomedical Imaging,0.6,0.0,0.0,4.0
dummy,kaggle-osic-pulmonary-fibrosis-progression,Biomedical Imaging,0.2,0.0,0.0,5.0
dummy,kaggle-rsna-miccai-brain-tumor-radiogenomic-classification,Biomedical Imaging,10.8,0.0,0.0,4.0
dummy,kaggle-uw-madison-gi-tract-image-segmentation,Biomedical Imaging,1.6,0.0,0.0,1.0
dummy,manual-open-problems-cell-cell-communication-ligand-target,Single Cell Omics,0.0,0.0,0.0,5.0
dummy,manual-open-problems-label-projection,Single Cell Omics,0.0,0.0,0.0,5.0
dummy,manual-open-problems-predict-modality,Single Cell Omics,0.0,0.0,0.0,5.0
dummy,manual-open-problems-single-cell-perturbations,Single Cell Omics,20.0,0.0,0.0,5.0
dummy,manual-open-problems-spatially-variable-genes,Single Cell Omics,16.7,0.0,0.0,4.0
dummy,polarishub-polaris-adme-fang-hclint-1,Drug Discovery,0.0,0.0,0.0,5.0
dummy,polarishub-polaris-adme-fang-hppb-1,Drug Discovery,0.0,0.0,0.0,4.5
dummy,polarishub-polaris-adme-fang-solu-1,Drug Discovery,0.0,0.0,0.0,3.0
dummy,polarishub-polaris-pkis2-egfr-wt-c-1,Drug Discovery,10.0,0.0,0.0,5.0
dummy,polarishub-tdcommons-bbb-martins,Drug Discovery,0.0,0.0,0.0,5.0
dummy,polarishub-tdcommons-caco2-wang,Drug Discovery,0.0,0.0,0.0,4.5
dummy,polarishub-tdcommons-cyp2d6-substrate-carbonmangels,Drug Discovery,0.0,0.0,0.0,5.0
